iter	Passed	Remaining
367	16527	28383
368	16564	28326
369	16602	28269
370	16644	28219
371	16682	28162
372	16718	28103
373	16756	28046
374	16792	27987
375	16829	27930
376	16866	27871
377	16901	27812
378	16938	27754
379	16973	27693
380	17016	27646
381	17059	27599
382	17100	27548
383	17136	27489
384	17172	27431
385	17208	27373
386	17246	27318
387	17283	27262
388	17317	27201
389	17361	27155
390	17411	27119
391	17451	27067
392	17494	27020
393	17531	26965
394	17569	26909
395	17605	26852
396	17647	26804
397	17686	26751
398	17750	26736
399	17962	26943
400	17999	26886
401	18048	26847
402	18085	26791
403	18126	26741
404	18162	26682
405	18204	26633
406	18243	26580
407	18284	26530
408	18322	26475
409	18366	26430
410	18405	26376
411	18441	26319
412	18481	26267
413	18524	26220
414	18561	26164
415	18607	26121
416	18647	26070
417	18686	26018
418	18730	25972
419	18772	25923
420	18847	25921
421	18893	25877
422	18936	25830
423	18974	25776
424	19012	25722
425	19050	25669
426	19088	25615
427	19125	25560
428	19165	25508
429	19204	25457
430	19242	25404
431	19280	25350
432	19319	25298
433	19361	25250
434	19569	25418
435	19644	25411
436	19680	25355
437	19716	25297
438	19761	25252
439	19796	25194
440	19833	25140
441	19870	25085
442	19910	25034
443	19952	24985
444	19988	24929
445	20029	24880
446	20069	24828
447	20111	24780
448	20150	24727
449	20187	24673
450	20224	24619
451	20261	24565
452	20301	24513
453	20341	24464
454	20378	24409
455	20415	24354
456	20451	24300
457	20491	24249
458	20542	24212
459	20578	24156
460	20622	24111
461	20661	24060
462	20699	24007
463	20737	23954
464	20774	23901
465	20817	23855
466	20855	23802
467	20897	23755
468	20935	23703
469	20972	23649
470	21129	23731
471	21238	23758
472	21275	23704
473	21311	23649
474	21350	23597
475	21409	23568
476	21448	23516
477	21489	23467
478	21525	23413
479	21560	23357
480	21596	23302
481	21633	23249
482	21680	23206
483	21720	23156
484	21756	23102
485	21795	23051
486	21836	23002
487	21876	22952
488	21913	22899
489	21953	22849
490	21993	22799
491	22031	22748
492	22074	22700
493	22114	22652
494	22151	22598
495	22193	22550
496	22232	22500
497	22268	22447
498	22311	22400
499	22351	22351
500	22390	22300
501	22434	22255
502	22498	22229
503	22538	22181
504	22577	22130
505	22615	22078
506	22676	22050
507	22747	22030
508	22804	21997
509	22872	21975
510	22924	21937
511	22962	21886
512	23006	21840
513	23045	21790
514	23085	21740
515	23122	21688
516	23160	21636
517	23197	21585
518	23234	21532
519	23269	21479
520	23307	21428
521	23344	21376
522	23379	21323
523	23423	21277
524	23469	21234
525	23517	21192
526	23562	21148
527	23610	21106
528	23655	21061
529	23703	21020
530	23745	20972
531	23785	20923
532	23820	20871
533	23856	20818
534	23895	20768
535	23930	20716
536	23968	20665
537	24004	20613
538	24045	20565
539	24085	20516
540	24122	20466
541	24170	20424
542	24208	20374
543	24245	20323
544	24286	20275
545	24328	20229
546	24365	20177
547	24402	20127
548	24439	20077
549	24479	20028
550	24515	19976
551	24552	19926
552	24589	19875
553	24625	19824
554	24661	19773
555	24702	19726
556	24738	19675
557	24776	19625
558	24818	19579
559	24856	19529
560	24899	19484
561	24935	19433
562	24977	19387
563	25018	19340
564	25067	19299
565	25110	19254
566	25165	19217
567	25201	19167
568	25237	19116
569	25275	19067
570	25312	19017
571	25349	18967
572	25387	18918
573	25425	18869
574	25463	18821
575	25502	18772
576	25540	18723
577	25577	18673
578	25613	18623
579	25651	18575
580	25687	18525
581	25736	18484
582	25786	18444
583	25824	18395
584	25861	18345
585	25897	18296
586	25935	18247
587	25974	18199
588	26014	18152
589	26050	18103
590	26106	18067
591	26187	18047
592	26273	18032
593	26345	18006
594	26385	17960
595	26423	17911
596	26463	17863
597	26500	17815
598	26541	17768
599	26594	17729
600	26635	17682
601	26671	17633
602	26712	17586
603	26750	17538
604	26787	17489
605	26828	17442
606	26873	17398
607	26918	17355
608	26958	17308
609	26995	17259
610	27041	17216
611	27080	17168
612	27125	17124
613	27167	17078
614	27210	17034
615	27251	16987
616	27288	16939
617	27332	16894
618	27373	16848
619	27411	16800
620	27458	16758
621	27496	16710
622	27535	16662
623	27582	16620
624	27620	16572
625	27664	16528
626	27703	16480
627	27740	16432
628	27775	16382
629	27811	16333
630	27847	16284
631	27884	16236
632	27923	16189
633	27964	16143
634	28001	16095
635	28040	16048
636	28080	16001
637	28117	15954
638	28156	15906
639	28193	15858
640	28232	15811
641	28268	15763
642	28307	15716
643	28343	15668
644	28384	15622
645	28421	15574
646	28459	15527
647	28499	15481
648	28538	15434
649	28574	15386
650	28616	15341
651	28655	15294
652	28696	15248
653	28734	15202
654	28772	15154
655	28812	15109
656	28850	15062
657	28887	15014
658	28926	14968
659	28968	14923
660	29008	14877
661	29049	14831
662	29087	14784
663	29123	14737
664	29162	14690
665	29217	14652
666	29260	14608
667	29296	14560
668	29332	14512
669	29369	14465
670	29406	14418
671	29442	14370
672	29478	14322
673	29512	14274
674	29548	14227
675	29584	14179
676	29621	14132
677	29658	14085
678	29693	14037
679	29729	13990
680	29765	13943
681	29800	13895
682	29835	13847
683	29870	13799
684	29905	13752
685	29941	13705
686	29976	13657
687	30011	13610
688	30048	13563
689	30083	13515
690	30119	13468
691	30155	13421
692	30190	13374
693	30226	13327
694	30261	13280
695	30296	13233
696	30334	13186
697	30368	13139
698	30403	13092
699	30438	13045
700	30473	12997
701	30509	12951
702	30544	12904
703	30580	12857
704	30615	12810
705	30649	12763
706	30684	12716
707	30720	12669
708	30755	12623
709	30791	12576
710	30827	12530
711	30863	12483
712	30897	12437
713	30931	12389
714	30965	12343
715	31001	12296
716	31037	12250
717	31072	12204
718	31107	12157
719	31144	12111
720	31179	12065
721	31215	12019
722	31251	11973
723	31285	11926
724	31321	11880
725	31355	11834
726	31390	11787
727	31425	11741
728	31459	11694
729	31493	11648
730	31527	11601
731	31563	11555
732	31598	11509
733	31631	11463
734	31666	11417
735	31703	11371
736	31737	11325
737	31773	11280
738	31809	11234
739	31844	11188
740	31880	11143
741	31914	11097
742	31951	11051
743	31987	11006
744	32022	10960
745	32057	10914
746	32098	10871
747	32137	10827
748	32177	10783
749	32214	10738
750	32251	10693
751	32287	10648
752	32323	10602
753	32359	10557
754	32394	10512
755	32429	10466
756	32463	10421
757	32498	10375
758	32533	10330
759	32568	10284
760	32603	10239
761	32640	10194
762	32678	10150
763	32713	10105
764	32747	10059
765	32782	10014
766	32818	9969
767	32853	9924
768	32887	9879
769	32929	9836
770	32965	9791
771	33001	9746
772	33037	9701
773	33073	9657
774	33121	9615
775	33159	9571
776	33196	9527
777	33232	9482
778	33268	9438
779	33304	9393
780	33340	9348
781	33375	9304
782	33409	9259
783	33445	9214
784	33480	9169
785	33515	9125
786	33550	9080
787	33585	9035
788	33621	8991
789	33659	8947
790	33697	8903
791	33735	8859
792	33774	8816
793	33814	8773
794	33855	8730
795	33894	8686
796	33932	8642
797	33972	8599
798	34011	8556
799	34052	8513
800	34093	8470
801	34130	8426
802	34169	8382
803	34209	8339
804	34246	8295
805	34284	8252
806	34321	8208
807	34358	8164
808	34396	8120
809	34434	8077
810	34474	8034
811	34514	7991
812	34553	7947
813	34590	7903
814	34627	7860
815	34664	7816
816	34701	7772
817	34746	7730
818	34784	7687
819	34823	7644
820	34865	7601
821	34901	7557
822	34939	7514
823	34982	7471
824	35021	7428
825	35064	7386
826	35103	7343
827	35147	7301
828	35186	7257
829	35225	7214
830	35269	7172
831	35313	7130
832	35351	7087
833	35469	7059
834	35622	7039
835	35658	6995
836	35697	6951
837	35735	6908
838	35769	6864
839	35819	6822
840	35866	6781
841	35903	6737
842	35938	6693
843	35974	6649
844	36012	6605
845	36056	6563
846	36093	6519
847	36130	6476
848	36165	6432
849	36202	6388
850	36243	6345
851	36281	6302
852	36318	6258
853	36353	6215
854	36389	6171
855	36427	6127
856	36464	6084
857	36505	6041
858	36541	5998
859	36579	5954
860	36614	5911
861	36653	5867
862	36691	5824
863	36732	5781
864	36778	5739
865	36816	5696
866	36857	5654
867	36898	5611
868	36942	5568
869	36980	5525
870	37017	5482
871	37057	5439
872	37096	5396
873	37135	5353
874	37176	5310
875	37213	5267
876	37251	5224
877	37289	5181
878	37327	5138
879	37364	5095
880	37402	5052
881	37444	5009
882	37483	4966
883	37520	4923
884	37555	4880
885	37590	4836
886	37625	4793
887	37661	4750
888	37696	4706
889	37731	4663
890	37768	4620
891	37805	4577
892	37843	4534
893	37884	4491
894	37922	4448
895	37975	4407
896	38017	4365
897	38056	4322
898	38100	4280
899	38139	4237
900	38180	4195
901	38216	4152
902	38255	4109
903	38294	4066
904	38337	4024
905	38374	3981
906	38415	3938
907	38454	3896
908	38494	3853
909	38534	3811
910	38571	3768
911	38610	3725
912	38745	3692
913	38886	3658
914	38922	3615
915	38963	3573
916	39003	3530
917	39039	3487
918	39074	3444
919	39110	3400
920	39168	3359
921	39207	3316
922	39243	3273
923	39284	3231
924	39321	3188
925	39359	3145
926	39397	3102
927	39443	3060
928	39488	3017
929	39526	2975
930	39570	2932
931	39610	2890
932	39651	2847
933	39689	2804
934	39728	2761
935	39765	2719
936	39804	2676
937	39841	2633
938	39885	2591
939	39923	2548
940	39963	2505
941	40001	2462
942	40041	2420
943	40079	2377
944	40119	2334
945	40163	2292
946	40201	2249
947	40239	2207
948	40281	2164
949	40406	2126
950	40563	2090
951	40598	2046
952	40633	2003
953	40666	1960
954	40702	1917
955	40742	1875
956	40779	1832
957	40817	1789
958	40858	1746
959	40894	1703
960	40931	1661
961	40966	1618
962	41000	1575
963	41036	1532
964	41078	1489
965	41113	1447
966	41148	1404
967	41184	1361
968	41219	1318
969	41256	1275
970	41292	1233
971	41327	1190
972	41363	1147
973	41398	1105
974	41441	1062
975	41481	1020
976	41517	977
977	41554	934
978	41592	892
979	41635	849
980	41677	807
981	41715	764
982	41751	722
983	41787	679
984	41824	636
985	41859	594
986	41896	551
987	41934	509
988	42168	469
989	42203	426
990	42237	383
991	42271	340
992	42319	298
993	42358	255
994	42394	213
995	42432	170
996	42467	127
997	42502	85
998	42536	42
999	42576	0
