iter	Logloss
0	0.6467477109
1	0.6138790212
2	0.57365872
3	0.5374044865
4	0.5139293671
5	0.4922218729
6	0.4665189702
7	0.4440976407
8	0.4266367162
9	0.4104012023
10	0.3916968082
11	0.3759170695
12	0.3580565351
13	0.3415326058
14	0.3296514673
15	0.3122735125
16	0.30317968
17	0.2949780809
18	0.2865923821
19	0.2793168413
20	0.2729714576
21	0.2646120761
22	0.2556621673
23	0.247761422
24	0.239719188
25	0.233056251
26	0.2306382808
27	0.2245797502
28	0.2170685099
29	0.2137344847
30	0.2096911897
31	0.201268744
32	0.199363323
33	0.1954835121
34	0.1907907445
35	0.1849324044
36	0.1798563409
37	0.1776203196
38	0.1729419181
39	0.1693461195
40	0.1650961003
41	0.1628330718
42	0.1609128993
43	0.1582569975
44	0.1551689189
45	0.152265082
46	0.1478655795
47	0.1451091766
48	0.1432104922
49	0.1398762845
50	0.135774511
51	0.1327418571
52	0.1301434294
53	0.1279619095
54	0.1258941407
55	0.1240423284
56	0.1215270225
57	0.1193514276
58	0.1155944175
59	0.1119404245
60	0.1109715928
61	0.1092959871
62	0.1083809061
63	0.1065212412
64	0.1050078007
65	0.1021913163
66	0.1000056673
67	0.09858998847
68	0.09724573379
69	0.09657606165
70	0.09512061261
71	0.09428260681
72	0.09303724005
73	0.09217665043
74	0.09097883549
75	0.08979202839
76	0.08882401852
77	0.08795026008
78	0.08626969317
79	0.08501642816
80	0.08477380428
81	0.08351000319
82	0.08179777734
83	0.08160371476
84	0.08087292631
85	0.07943037723
86	0.07807058984
87	0.07717392292
88	0.07651542095
89	0.07520572683
90	0.07416836252
91	0.07358108176
92	0.07251679136
93	0.07160953258
94	0.0709083131
95	0.07044686662
96	0.06889715601
97	0.06810612374
98	0.06757977668
99	0.06696788301
100	0.06609483475
101	0.06552542017
102	0.06511630403
103	0.06437692744
104	0.06307097699
105	0.06192105882
106	0.06110934501
107	0.06074498562
108	0.05984600047
109	0.05884558089
110	0.05873566993
111	0.05771636456
112	0.05663483194
113	0.05599501792
114	0.05564164101
115	0.05514431
116	0.05422617019
117	0.05356504562
118	0.05275440216
119	0.05234791877
120	0.05203894351
121	0.05169930357
122	0.05071820604
123	0.05014425643
124	0.0496374394
125	0.04929568412
126	0.04885930203
127	0.04787218317
128	0.04743653663
129	0.04668559419
130	0.04641186937
131	0.04607298019
132	0.04572657321
133	0.04551385311
